Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	IO	MemAlloc	O3
mandelbrot_pth	full.log	64	8	0.0023062	0.0000743	3.13	1.358	5,861,970	5,453,581	0	1	0
mandelbrot_pth	full.log	64	16	0.0024064	0.0000369	3.95	1.642	7,298,730	6,059,701	0	1	0
mandelbrot_pth	full.log	64	32	0.002477	0.000112	4.06	1.638	9,442,520	7,285,187	0	1	0
mandelbrot_pth	full.log	128	1	0.008348	0.000347	7.83	0.938	13,253,791	17,004,602	0	1	0
mandelbrot_pth	full.log	128	2	0.005509	0.000139	7.79	1.414	13,213,848	17,101,175	0	1	0
mandelbrot_pth	full.log	128	4	0.005649	0.000214	8.46	1.498	15,227,116	17,258,118	0	1	0
mandelbrot_pth	full.log	128	8	0.00326	0.00017	5.53	1.695	15,613,212	17,480,830	0	1	0
mandelbrot_pth	full.log	128	16	0.005319	0.000149	12.08	2.272	16,740,024	18,169,446	0	1	0
mandelbrot_pth	full.log	128	32	0.004641	0.000269	11	2.371	19,918,519	19,300,796	0	1	0
mandelbrot_pth	full.log	256	1	0.018477	0.000619	18.12	0.981	50,032,095	67,371,724	0	1	0
mandelbrot_pth	full.log	256	2	0.015663	0.000866	24.1	1.539	49,319,837	67,056,775	0	1	0
mandelbrot_pth	full.log	256	4	0.01966	0.00121	31.57	1.606	48,605,643	68,870,389	0	1	0
mandelbrot_pth	full.log	256	8	0.01564	0.00114	29.5	1.886	51,312,887	67,498,998	0	1	0
mandelbrot_pth	full.log	256	16	0.010018	0.000369	26.27	2.622	53,922,294	67,721,187	0	1	0
mandelbrot_pth	full.log	256	32	0.009068	0.000173	31.17	3.438	57,118,914	67,895,317	0	1	0
mandelbrot_pth	full.log	512	1	0.07424	0.00333	73.78	0.994	198,533,994	256,126,428	0	1	0
mandelbrot_pth	full.log	512	2	0.04649	0.00141	75.67	1.628	197,508,813	254,638,952	0	1	0
mandelbrot_pth	full.log	512	4	0.04807	0.00106	79.73	1.659	204,356,858	250,613,554	0	1	0
mandelbrot_pth	full.log	512	8	0.041487	0.000684	83.79	2.02	203,196,995	253,563,954	0	1	0
mandelbrot_pth	full.log	512	16	0.03085	0.00192	83.45	2.705	205,398,879	265,108,532	0	1	0
mandelbrot_pth	full.log	512	32	0.02512	0.00126	88.54	3.524	213,640,332	276,070,669	0	1	0
mandelbrot_pth	full.log	1024	1	0.2951	0.0277	294.39	0.998	802,829,405	1,035,820,061	0	1	0
mandelbrot_pth	full.log	1024	2	0.187	0.0174	320.65	1.714	797,022,739	1,025,050,609	0	1	0
mandelbrot_pth	full.log	1024	4	0.1626	0.0105	290.14	1.784	804,466,251	1,021,630,587	0	1	0
mandelbrot_pth	full.log	1024	8	0.13464	0.00274	286.53	2.128	805,668,425	1,027,430,088	0	1	0
mandelbrot_pth	full.log	1024	16	0.10657	0.00441	305.78	2.869	818,865,042	1,024,238,048	0	1	0
mandelbrot_pth	full.log	1024	32	0.08219	0.00442	318.99	3.881	867,259,115	1,014,005,312	0	1	0
mandelbrot_pth	full.log	2048	1	1.1555	0.0562	1,154.93	0.999	3,206,929,462	4,135,641,302	0	1	0
mandelbrot_pth	full.log	2048	2	0.7631	0.0329	1,321.93	1.732	3,160,263,433	4,116,006,326	0	1	0
mandelbrot_pth	full.log	2048	4	0.7057	0.0384	1,259.65	1.785	3,156,850,269	4,117,258,330	0	1	0
mandelbrot_pth	full.log	2048	8	0.6328	0.043	1,281.86	2.026	3,153,969,576	4,128,568,874	0	1	0
mandelbrot_pth	full.log	2048	16	0.5089	0.0282	1,464.21	2.877	3,191,276,632	4,125,081,609	0	1	0
mandelbrot_pth	full.log	2048	32	0.3228	0.0132	1,243.32	3.852	3,472,646,813	4,159,609,745	0	1	0
mandelbrot_pth	full.log	4096	1	4.4523	0.0605	4,451.46	1	13,090,826,315	16,730,801,630	0	1	0
mandelbrot_pth	full.log	4096	2	2.8432	0.0619	4,641.17	1.632	12,634,307,314	16,488,266,716	0	1	0
mandelbrot_pth	full.log	4096	4	2.586	0.063	4,565.29	1.765	12,601,903,282	16,468,801,028	0	1	0
mandelbrot_pth	full.log	4096	8	2.3277	0.0827	4,677.75	2.01	12,629,917,000	16,482,329,044	0	1	0
mandelbrot_pth	full.log	4096	16	1.9105	0.0587	5,167.80	2.705	12,803,153,289	16,523,756,334	0	1	0
mandelbrot_pth	full.log	4096	32	1.517	0.0334	5,237.50	3.452	13,592,836,354	16,485,449,076	0	1	0
mandelbrot_pth	full.log	8192	1	16.3517	0.0827	16,349.19	1	52,253,559,348	66,959,368,210	0	1	0
mandelbrot_pth	full.log	8192	2	10.0154	0.0962	16,652.01	1.663	51,943,201,743	66,576,690,214	0	1	0
mandelbrot_pth	full.log	8192	4	9.198	0.0538	16,807.19	1.827	50,996,315,956	66,099,330,161	0	1	0
mandelbrot_pth	full.log	8192	8	7.9467	0.0701	16,898.89	2.127	50,663,215,446	65,876,157,334	0	1	0
mandelbrot_pth	full.log	8192	16	6.0084	0.0435	17,588.25	2.927	51,115,235,323	65,926,651,776	0	1	0
mandelbrot_pth	full.log	8192	32	4.753	0.0419	19,860.71	4.179	54,273,149,099	65,924,785,387	0	1	0
mandelbrot_pth	seahorse.log	16	1	0.0018308	0.0000553	1.34	0.732	2,445,931	2,054,377	0	1	0
mandelbrot_pth	seahorse.log	16	2	0.0013963	0.0000294	1.3	0.933	2,614,349	2,109,645	0	1	0
mandelbrot_pth	seahorse.log	16	4	0.0015267	0.000031	1.67	1.093	2,854,574	2,254,979	0	1	0
mandelbrot_pth	seahorse.log	16	8	0.0015771	0.0000245	1.95	1.238	3,780,768	2,574,787	0	1	0
mandelbrot_pth	seahorse.log	16	16	0.002757	0.00013	3.39	1.229	4,679,604	3,175,286	0	1	0
mandelbrot_pth	seahorse.log	16	32	0.003891	0.000173	4.12	1.059	5,810,213	3,153,341	0	1	0
mandelbrot_pth	seahorse.log	32	1	0.003789	0.000128	3.29	0.869	5,695,529	5,689,177	0	1	0
mandelbrot_pth	seahorse.log	32	2	0.0025847	0.0000705	3.18	1.23	5,766,209	5,773,897	0	1	0
mandelbrot_pth	seahorse.log	32	4	0.0023428	0.0000435	3.72	1.589	6,543,739	5,892,023	0	1	0
mandelbrot_pth	seahorse.log	32	8	0.002256	0.000115	4.79	2.122	7,549,221	6,258,396	0	1	0
mandelbrot_pth	seahorse.log	32	16	0.003257	0.000176	5.79	1.778	8,199,454	6,848,928	0	1	0
mandelbrot_pth	seahorse.log	32	32	0.002866	0.000107	5.23	1.825	10,569,272	7,946,735	0	1	0
mandelbrot_pth	seahorse.log	64	1	0.008114	0.000869	7.8	0.961	19,592,400	20,242,582	0	1	0
mandelbrot_pth	seahorse.log	64	2	0.005763	0.000247	8.92	1.548	19,770,385	20,298,237	0	1	0
mandelbrot_pth	seahorse.log	64	4	0.0048979	0.0000887	11.82	2.414	19,733,442	20,431,401	0	1	0
mandelbrot_pth	seahorse.log	64	8	0.0037246	0.0000773	12.78	3.431	21,141,981	20,724,684	0	1	0
mandelbrot_pth	seahorse.log	64	16	0.003607	0.000244	15.6	4.324	22,551,967	21,428,341	0	1	0
mandelbrot_pth	seahorse.log	64	32	0.003984	0.000101	15.56	3.906	25,874,723	22,569,663	0	1	0
mandelbrot_pth	seahorse.log	128	1	0.028991	0.000904	28.58	0.986	72,270,887	78,659,172	0	1	0
mandelbrot_pth	seahorse.log	128	2	0.017506	0.000682	29.13	1.664	70,440,355	77,836,968	0	1	0
